COUNTRY,ISO3,Earthquake,Flood,Tsunami,Tropical Cyclone,Drought,Natural,Projected Conflict Risk,Current Highly Violent Conflict Intensity,Human,HAZARD & EXPOSURE,Development & Deprivation,Inequality,Aid Dependency,Socio-Economic Vulnerability,Uprooted people,Health Conditions,Children U5,Recent Shocks,Food Security,Other Vulnerable Groups,Vulnerable Groups,VULNERABILITY,DRR,Governance,Institutional,Communication,Physical infrastructure,Access to health care,Infrastructure,LACK OF COPING CAPACITY,INFORM RISK,Rank,Missing Indicators
Afghanistan,AFG,9.2,7.1,0,0,7.6,6,10,10,10,8.7,6.4,4.8,7.2,6.2,9.1,1.2,5.4,0.1,6.4,3.7,7.3,6.8,6.3,8,7.2,6.7,8.5,8.2,7.8,7.5,7.6,5,3
Albania,ALB,6.2,4.9,7.4,0,6.8,5.5,0.1,0,0.1,3.3,1.6,2.3,1.4,1.7,0,0.3,1.2,1.2,2.8,1.4,0.7,1.2,x,5.6,5.6,2.3,1.6,4.1,2.7,4.3,2.6,129,2
Algeria,DZA,5.5,5.4,3.4,0,4.1,3.9,9.4,0,6.6,5.4,3.2,5.7,0.1,3.1,5.3,0.5,1.3,0.3,1.7,1,3.4,3.3,3.5,6.4,5,3.6,4.8,4.2,4.2,4.6,4.3,64,2
Angola,AGO,0.1,5,0,0,4,2.1,8.2,0,5.7,4.1,6.4,4.4,0.3,4.4,4.6,6.3,4.9,5,4.6,5.2,4.9,4.7,5.3,7.6,6.5,7.1,8.4,8.6,8,7.3,5.2,37,2
Antigua and Barbuda,ATG,0.4,0.1,0,8.2,0,2.7,0.1,0,0.1,1.5,2.5,x,1.3,2.1,0,0.1,0.7,1.4,5.4,2.2,1.2,1.7,5.4,4.5,5,1.1,0.5,3.2,1.6,3.5,2.1,147,11
Argentina,ARG,5.1,6.6,0,0,3.1,3.4,1.7,0,1.2,2.4,1,4.6,0,1.7,1.7,0.6,0.7,0.3,1.1,0.7,1.2,1.5,3.8,5.4,4.6,1.5,2.9,2.4,2.3,3.5,2.3,139,3
Armenia,ARM,8,4.7,0,0,4.6,4.2,2.9,0,2,3.2,1.7,2.8,1.8,2,5.1,0.6,1.1,0,4,1.6,3.5,2.8,7.5,5.9,6.7,2.2,1.4,3.3,2.3,4.9,3.5,94,1
Australia,AUS,4,5.3,6.6,4.7,6.6,5.5,0.1,0,0.1,3.3,0.2,2.1,0,0.6,4.7,0.2,0.2,0.1,1.2,0.4,2.8,1.8,2.4,2.1,2.3,2,3,0.7,1.9,2.1,2.3,139,5
Austria,AUT,4,5.6,0,0,0.5,2.4,0,0,0,1.3,0.9,1.2,0,0.8,6.3,0.1,0.3,0,0.3,0.2,3.9,2.5,2,2.3,2.2,1.1,0,0.3,0.5,1.4,1.7,165,6
Azerbaijan,AZE,8.2,4.9,0,0,5.3,4.5,8.5,0,6,5.3,1.6,2.2,0.2,1.4,9,0.5,1.8,0,1.3,0.9,6.5,4.4,x,6.1,6.1,1.8,3.6,2.2,2.5,4.5,4.7,53,3
Bahamas,BHS,0.1,0.1,0,8.8,2.6,3.4,0.2,0,0.1,1.9,2.4,4.8,0,2.4,0,3.6,0.8,0.4,2.8,2,1,1.7,x,3.6,3.6,2.6,2.2,2.6,2.5,3.1,2.2,142,8
Bahrain,BHR,0.1,0.1,0,0,0,0.1,0.3,0,0.2,0.2,1.9,3.1,0,1.7,1.1,0.2,0.6,0,1.5,0.6,0.9,1.3,3.8,5.4,4.6,0.4,0,2.6,1,3,0.9,186,8
Bangladesh,BGD,8.7,10,8.5,7,5,8.3,9.2,0,6.4,7.5,4.5,4.3,0.6,3.5,7.8,1.8,4.9,8.6,5.2,5.7,6.9,5.4,3,6.8,4.9,6,5.1,5.6,5.6,5.3,6,18,0
Barbados,BRB,0.1,0.1,5.8,4.2,0.5,2.5,0,0,0,1.3,1.3,3.9,0,1.6,0,1.3,0.9,0,1.9,1,0.5,1.1,2.8,3,2.9,2.3,0.2,3.6,2,2.5,1.5,171,6
Belarus,BLR,0.1,6.1,0,0,3.1,2.3,4.1,0,2.9,2.6,1.3,1.2,0.1,1,1.6,0.9,0.3,0.5,2.4,1.1,1.4,1.2,2.8,5.8,4.3,2,0.3,1.8,1.4,3,2.1,147,2
Belgium,BEL,2.7,4,0,0,0.5,1.6,8,0,5.6,3.9,0.8,0.8,0,0.6,4.9,0.2,0.3,0,0.4,0.2,2.9,1.8,x,2.4,2.4,2,0,0.2,0.7,1.6,2.2,142,7
Belize,BLZ,2.3,8.4,3.2,7.2,1,5.2,0.1,0,0.1,3,2.1,5,1,2.6,0,1.4,1.3,2.8,2.6,2.1,1.1,1.9,x,6.4,6.4,4.3,2.9,4.4,3.9,5.3,3.1,105,3
Benin,BEN,0.1,5.5,0,0,0.5,1.5,3.8,0,2.7,2.1,6.9,6.4,2.3,5.6,0.9,3.3,5.8,0,4.6,3.7,2.4,4.2,5.5,6.1,5.8,7.9,7.4,7.7,7.7,6.9,3.9,81,0
Bhutan,BTN,7.4,5.2,0,0,0,3.2,0.1,0,0.1,1.8,3.7,4.9,1.7,3.5,0,1.1,2.7,0,4.3,2.2,1.2,2.4,4.5,3.7,4.1,4.6,5.1,5.2,5,4.6,2.7,124,2
Bolivia,BOL,6.3,6.1,0,0,4.2,3.8,6.9,0,4.8,4.3,2.8,5.9,1.1,3.2,0.9,0.9,1.9,3.3,5.6,3.1,2.1,2.7,5.6,6.4,6,3.3,5.6,5,4.6,5.3,3.9,81,0
Bosnia and Herzegovina,BIH,6.3,7.3,1.2,0,3.4,4.2,2,0,1.4,2.9,1.7,2.1,1.8,1.8,7,0.6,0.4,0,2.4,0.9,4.6,3.3,x,6.1,6.1,2.4,1.1,4.1,2.5,4.5,3.5,94,3
Botswana,BWA,0.1,4.4,0,0,6.5,2.7,0.1,0,0.1,1.5,3.9,7.4,0.8,4,2.2,5.3,2.8,0.1,5.3,3.7,3,3.5,5.6,4,4.8,4.1,4.8,4.6,4.5,4.7,2.9,111,1
Brazil,BRA,2.4,8,0,0,4.5,3.7,8.4,7,7,5.6,1.6,6.1,0.1,2.4,1.7,0.7,0.9,0.1,1.5,0.8,1.3,1.9,4.3,5.9,5.1,2.5,3.8,3.1,3.1,4.2,3.5,94,0
Brunei Darussalam,BRN,0.1,2,4.3,1.4,2,2.1,3.4,0,2.4,2.3,1.3,x,0,0.9,0,0.6,1.5,0,1.8,1,0.5,0.7,6,3.4,4.7,1.9,7.2,2.8,4,4.4,1.9,156,7
Bulgaria,BGR,6.6,4.9,0,0,2.8,3.3,0.8,0,0.6,2.1,2.4,2.9,0,1.9,4.1,0.4,0.6,0,2.3,0.9,2.6,2.3,3.2,5.1,4.2,2.1,1.3,1.9,1.8,3.1,2.5,133,4
Burkina Faso,BFA,0.1,4.8,0,0,6,2.6,7,0,4.9,3.8,9.4,5.4,3.5,6.9,4,3.7,6.2,0.2,5.2,4.2,4.1,5.7,3.2,6,4.6,8.1,7,6.7,7.3,6.1,5.1,40,0
Burundi,BDI,4,4.5,0,0,5,3,9.2,0,6.4,4.9,8.6,4.2,5.9,6.8,7.8,3.2,6,0,8,5,6.6,6.7,4.6,7.8,6.2,7.4,6.1,6.5,6.7,6.5,6,18,3
Cabo Verde,CPV,0.1,0.1,0,0,6.6,1.9,0,0,0,1,4.6,5.5,5.8,5.1,0,1.4,1.6,0,4.3,2,1,3.3,3.4,4.7,4.1,3.3,3,5.2,3.8,4,2.4,136,4
Cambodia,KHM,0.1,9.5,4.4,4,4.7,5.5,4.2,0,2.9,4.3,4.4,3.9,1.9,3.7,0,2.6,3.9,7.9,5,5.2,3,3.4,6.8,7.2,7,5.1,6.5,6.4,6,6.5,4.6,55,0
Cameroon,CMR,0.8,6,0,0,3.1,2.3,9.7,0,6.8,4.9,5.7,6.5,1.4,4.8,8.1,5.6,4.8,0.1,4,3.9,6.5,5.7,2.6,7,4.8,6,6.7,7.9,6.9,6,5.5,27,0
Canada,CAN,4.7,5.2,6.2,2.5,4.8,4.8,0.8,0,0.6,3,0.5,1.8,0,0.7,5.4,0.1,0.4,0.3,0.8,0.4,3.3,2.1,2.8,1.6,2.2,2.4,2.9,1.8,2.4,2.3,2.4,136,6
Central African Republic,CAF,0.5,5.7,0,0,0.5,1.7,10,10,10,7.9,8.8,8.2,7.4,8.3,9.6,8.3,7.4,0.1,9.7,7.5,8.8,8.6,x,8.1,8.1,9.2,8.2,9.9,9.1,8.7,8.4,3,3
Chad,TCD,0.1,8.4,0,0,5.4,3.8,10,0,7,5.6,9.4,7,3,7.2,8.5,5.1,8.1,10,7.8,8.3,8.4,7.9,x,8,8,9.2,9.8,9.8,9.6,8.9,7.3,7,3
Chile,CHL,9.8,5.7,8.9,0,0.3,6.6,3,0,2.1,4.7,1.6,5.4,0.1,2.2,1.3,0.7,0.4,1.3,2,1.1,1.2,1.7,3.2,3.2,3.2,2,2.8,3.3,2.7,3,2.9,111,2
China,CHN,8,8.4,9.2,8.1,4.6,7.9,8,0,5.6,6.9,1.8,3.3,0,1.7,5.3,0.5,0.8,3.6,2.4,1.9,3.8,2.8,2.5,5.1,3.8,2.8,4.2,3.3,3.4,3.6,4.1,68,0
Colombia,COL,8.6,6.9,7.9,4.3,2,6.5,9.2,7,7,6.8,1.9,6.2,0.7,2.7,10,0.5,1,0.1,2,0.9,7.7,5.8,3,5.7,4.4,2.5,4.3,3.9,3.6,4,5.4,30,0
Comoros,COM,0.1,0.1,6.6,2.8,1,2.6,1.9,0,1.3,2,5.2,7.7,3.6,5.4,0,2.2,4.7,0,7.5,4.2,2.3,4,7.8,7.7,7.8,5.9,5.2,4.5,5.2,6.7,3.8,86,5
Congo,COG,1.6,7.2,0,0,0.5,2.5,6.2,0,4.3,3.5,4.4,7,0.6,4.1,7.2,7.3,3.5,0,7,5.1,6.3,5.3,x,7.6,7.6,5.9,8,7.2,7,7.3,5.1,40,1
Congo DR,COD,4,7.4,0,0,2,3.3,10,9,9,7.1,7.5,6.6,2.6,6.1,9.3,5.4,6.3,0.1,9.7,6.6,8.3,7.4,7.5,8,7.8,7.8,8.9,7.8,8.2,8,7.5,6,5
Costa Rica,CRI,9.6,3.5,8.7,2,0.8,6.3,0.1,0,0.1,3.8,2.7,5,0.4,2.7,2.6,0.3,0.5,0.7,2.5,1,1.8,2.3,1.5,4.2,2.9,1.7,2.2,3.6,2.5,2.7,2.9,111,1
Côte d'Ivoire,CIV,0.1,5.7,1.4,0,1,1.9,8.8,0,6.2,4.4,6.6,6.8,0.8,5.2,7.2,4.7,5.3,0,4.2,3.8,5.8,5.5,7.8,6.4,7.1,6.1,7.1,8,7.1,7.1,5.6,25,0
Croatia,HRV,6.1,6.7,6.7,0,3.3,5,1,0,0.7,3.1,1.9,1.8,0,1.4,0.9,0.2,0.4,0,1.7,0.6,0.8,1.1,4.4,4.6,4.5,2,0.1,2.4,1.5,3.1,2.2,142,4
Cuba,CUB,5.1,3.8,4.4,8.1,5.1,5.5,1.4,0,1,3.6,2.7,4.1,4.3,3.5,0,0.5,0.4,10,0.5,5.1,2.9,3.2,2.5,5.3,3.9,3.9,1.8,0.6,2.1,3.1,3.3,102,7
Cyprus,CYP,5,0,5.7,0,3.1,3.1,0.2,0,0.1,1.7,1.4,2,0,1.2,9.1,0.2,0.2,0,2.6,0.8,6.6,4.4,x,3.7,3.7,1.6,0,2.5,1.4,2.6,2.7,124,5
Czech Republic,CZE,2.2,5.4,0,0,1.5,2.1,0.2,0,0.1,1.2,1.1,1,0,0.8,2.2,0.2,0.2,0,1.7,0.5,1.4,1.1,2.5,3.6,3.1,2.1,0,1,1,2.1,1.4,175,5
Denmark,DNK,0.1,2.3,0,0,2.3,1,0,0,0,0.5,0.4,0.8,0,0.4,5.1,0.3,0.3,0,1,0.4,3.1,1.8,2.7,1.2,2,1.5,0,0.7,0.7,1.4,1.1,183,5
Djibouti,DJI,5,0.4,4.2,0,9.2,4.9,3.7,0,2.6,3.8,5.1,5,4.4,4.9,6.4,3.7,5.8,0,3.5,3.5,5.1,5,5.5,6.9,6.2,7.5,5.6,6.8,6.6,6.4,5,43,5
Dominica,DMA,1.3,0.1,7.6,5.3,0,3.6,0.1,0,0.1,2,3.4,x,4.8,3.9,0,0.1,2.6,10,2.2,5.6,3.3,3.6,x,4.6,4.6,2.6,1.1,4.9,2.9,3.8,3,108,12
Dominican Republic,DOM,7.2,4.7,5.3,7.9,1,5.7,4.8,0,3.4,4.7,1.9,5.9,0.5,2.6,0.8,1,1.7,8.8,3.8,4.8,3,2.8,4.6,6.3,5.5,3.2,3,4.8,3.7,4.7,4,74,0
Ecuador,ECU,9.4,6.8,9,0,2.8,6.8,1.4,0,1,4.5,1.7,5.2,0.4,2.3,5.9,0.5,1.5,2.7,3.6,2.2,4.3,3.4,3,6.4,4.7,3.1,4,4.1,3.7,4.2,4,74,0
Egypt,EGY,6,8.1,6.8,0,3.1,5.4,7.6,7,7,6.3,2.2,4.5,0.3,2.3,6.3,0.3,1.7,0,2.2,1.1,4.2,3.3,4.2,6.6,5.4,3.9,3.3,3.1,3.4,4.5,4.5,57,1
El Salvador,SLV,8.7,3.4,8.2,3.8,3.4,6.1,7.8,7,7,6.6,4.2,4.7,0.5,3.4,0,0.8,1.4,2,3.5,2,1,2.3,5.2,6.2,5.7,3.3,2.9,4.3,3.5,4.7,4.1,68,1
Equatorial Guinea,GNQ,0.1,2.8,0,0,3.6,1.4,5.6,0,3.9,2.7,5.5,x,0.2,3.7,0,6.4,4.1,0,2,3.5,1.9,2.8,x,8.1,8.1,4.8,7.2,6.7,6.2,7.3,3.8,86,9
Eritrea,ERI,2.7,5.3,0,0,8.3,4.1,5.7,0,4,4.1,8.2,x,0.1,5.5,2,0.9,6,0,7.4,4.3,3.2,4.4,x,8.2,8.2,7.6,9.1,5.7,7.5,7.9,5.2,37,10
Estonia,EST,0.1,3.6,0,0,0,0.9,0.1,0,0.1,0.5,1.3,1.9,0,1.1,1.2,1.5,0.2,0,1.7,0.9,1.1,1.1,x,2.9,2.9,1,0.1,2,1,2,1,184,5
Ethiopia,ETH,5.5,6.6,0,0,5.7,4.1,10,9,9,7.3,9.2,4.3,2.5,6.3,8.6,3.1,5.1,2.8,6.7,4.6,7.1,6.7,2.9,6.4,4.7,8,8.6,7.8,8.1,6.7,6.9,11,0
Fiji,FJI,3.2,0.1,7.5,3.3,2.6,3.8,0.1,0,0.1,2.1,3.3,4.6,3,3.6,0,0.7,1.7,10,2.7,5.6,3.3,3.5,0.1,5.5,2.8,3.5,3.4,4.9,3.9,3.4,2.9,111,6
Finland,FIN,0.1,0.1,0,0,0,0.1,0,0,0,0.1,0.8,0.7,0,0.6,4.4,0.1,0.2,0,1.1,0.4,2.6,1.7,2.2,1.4,1.8,1.4,0.6,1,1,1.4,0.6,190,7
France,FRA,3,6.5,5,0,2.3,3.7,2.8,0,2,2.9,0.8,1.7,0,0.8,6.6,0.5,0.3,0,0.8,0.4,4.2,2.7,2.9,2.6,2.8,2.2,0,1.1,1.1,2,2.5,133,5
Gabon,GAB,1.7,4.7,0,0,1.5,1.8,8.3,0,5.8,4.1,2.4,5.8,0.7,2.8,1.4,7.2,2.5,0,3.2,3.7,2.6,2.7,6.7,6.7,6.7,3.8,5.9,6.8,5.5,6.1,4.1,68,1
Gambia,GMB,0.1,3.3,3.6,0,3.3,2.2,3.2,0,2.2,2.2,6.7,7.1,3.5,6,3.8,4.5,4.3,0,4,3.4,3.6,4.9,3,6.9,5,6.1,4.2,7,5.8,5.4,3.9,81,0
Georgia,GEO,7.8,5.7,0,0,5.3,4.5,3.5,0,2.5,3.6,1.5,4.3,2.2,2.4,8.2,0.9,0.5,0.1,2.5,1,5.7,4.2,4.7,4.2,4.5,2.3,1.1,2.5,2,3.4,3.7,89,2
Germany,DEU,2.7,6.1,0,0,0.5,2.2,1.8,0,1.3,1.8,0.4,1.1,0,0.5,7.8,0.1,0.3,0,1,0.4,5.2,3.2,2.7,1.7,2.2,1.9,0,0.2,0.7,1.5,2.1,147,5
Ghana,GHA,0.1,5.2,4.2,0,1,2.4,3.1,0,2.2,2.3,4.2,5.9,1.5,4,3.1,3.9,3.5,3.6,3,3.5,3.3,3.7,3.4,5.7,4.6,4.4,6.7,6.4,5.8,5.2,3.5,94,0
Greece,GRC,5.9,3.2,8.3,0,2.3,4.6,5,0,3.5,4.1,1.3,2.3,2,1.7,5,0.4,0.3,0.1,1.5,0.6,3.1,2.4,2.3,4.9,3.6,2.2,0,0.9,1,2.4,2.9,111,4
Grenada,GRD,0.4,0.1,0,1.5,0.5,0.5,0.1,0,0.1,0.3,3,x,1.2,2.4,0,0.1,1.2,0,5.4,2,1,1.7,4.7,5.1,4.9,3.4,0.3,3,2.2,3.7,1.2,182,11
Guatemala,GTM,9.7,5.5,7.5,4.6,3.6,6.9,6.4,0,4.5,5.8,4.8,6.3,0.5,4.1,7.2,0.5,2.5,0.4,4.7,2.2,5.2,4.7,5.5,6.7,6.1,4.3,4.5,5.2,4.7,5.4,5.3,33,1
Guinea,GIN,0.1,5.6,3.8,0,0.8,2.4,7,0,4.9,3.8,8.3,2.2,2.8,5.4,2.5,5,5.2,0.1,5.8,4.3,3.5,4.5,5,7.2,6.1,8.2,7.4,9.3,8.3,7.4,5,43,1
Guinea-Bissau,GNB,0.1,3.8,4.3,0,2.1,2.2,6.3,0,4.4,3.4,9.2,6.4,5.9,7.7,4,7,5.3,0,7.3,5.5,4.8,6.5,7.8,8.3,8.1,7.9,7.3,7.6,7.6,7.9,5.6,25,3
Guyana,GUY,0.1,4.9,3.9,0,4.3,2.9,0.1,0,0.1,1.6,2.7,6.8,1.1,3.3,0,2.3,2.2,6.9,2.8,3.9,2.2,2.8,x,5.9,5.9,4.2,4,5.2,4.5,5.2,2.9,111,4
Haiti,HTI,5.7,4.4,6.1,7.1,4,5.6,7.1,0,5,5.3,5.8,8.4,6,6.5,5.2,2.7,3.9,10,8.5,7.5,6.5,6.5,6.7,8.5,7.6,7.3,6.1,8.3,7.2,7.4,6.3,15,0
Honduras,HND,6.6,5.5,7,4.3,4.4,5.7,5.1,0,3.6,4.7,3.3,6.3,1.2,3.5,7.2,0.5,1.5,3,3.9,2.3,5.2,4.4,5.2,6.8,6,4.3,4.1,4.3,4.2,5.2,4.8,51,1
Hungary,HUN,3.8,7.5,0,0,3.8,3.6,0.5,0,0.4,2.1,1.8,2.4,0,1.5,2.5,0.2,0.4,0,1.9,0.7,1.6,1.6,1.4,4.8,3.1,1.7,0.1,1.6,1.1,2.2,1.9,156,5
Iceland,ISL,5.1,0.1,0,0,0,1.3,0,0,0,0.7,0.4,0.6,0,0.4,1.6,0,0.2,0,1.2,0.4,1,0.7,x,2.3,2.3,1.5,2.6,0.7,1.6,2,1,184,9
India,IND,7.9,8.5,8.3,7.6,6.1,7.8,9.2,0,6.4,7.2,5.1,4.7,0.1,3.8,6.5,1.6,6.5,2.5,4.3,4,5.4,4.6,1.8,5.4,3.6,5.2,5.2,5.6,5.3,4.5,5.3,33,0
Indonesia,IDN,8.4,8.2,9.6,6.4,3.6,7.8,8.7,0,6.1,7,2.2,4.4,0,2.2,2.8,2.9,3.2,0.3,3.6,2.6,2.7,2.5,3.3,5.7,4.5,2.9,5.3,6.5,4.9,4.7,4.3,64,0
Iran,IRN,10,6.6,6,2,5.4,6.9,7.7,0,5.4,6.2,2.7,5,0.1,2.6,8,0.2,1.2,0.3,2.5,1.1,5.5,4.2,4.4,6.2,5.3,3.4,3.7,3.7,3.6,4.5,4.9,48,2
Iraq,IRQ,7,9.6,0,0,3.3,5.4,10,10,10,8.6,2.6,4.1,2.2,2.9,9.6,0.8,2.2,0.1,6,2.6,7.5,5.7,8.4,7.9,8.2,4.6,4.4,6.4,5.1,6.9,7,8,2
Ireland,IRL,0.1,3.9,4.5,0,0.5,2,0,0,0,1,0.4,1.8,0,0.7,2.9,0.3,0.3,0,0.4,0.3,1.7,1.2,x,2.5,2.5,2.3,0.5,1.2,1.3,1.9,1.3,179,6
Israel,ISR,6.6,2.4,5.2,0,5.3,4.3,5.7,0,4,4.2,0.8,2.9,0,1.1,4.9,0.1,0.3,0.4,0.5,0.3,2.9,2,x,3.1,3.1,1.9,0,0.9,0.9,2.1,2.6,129,7
Italy,ITA,6.1,5.6,7.6,0,2.8,4.9,2.6,0,1.8,3.5,1,1.8,0,1,5.7,0.4,0.3,0,0.8,0.4,3.5,2.3,2.4,4.5,3.5,1.7,0,1.1,0.9,2.3,2.6,129,4
Jamaica,JAM,3.7,3,0,7.2,2.5,3.7,0.3,0,0.2,2.1,1.9,5.4,0.2,2.4,0,1.8,0.9,2.2,3.4,2.1,1.1,1.8,3.3,4.9,4.1,3.2,1.9,4.9,3.3,3.7,2.4,136,1
Japan,JPN,9.4,3.9,10,10,0.5,8.3,0.9,0,0.6,5.7,0.7,1.7,0,0.8,0.7,0.3,0.5,0.2,2.2,0.8,0.8,0.8,1.9,2,2,1.4,0,1.3,0.9,1.5,1.9,156,4
Jordan,JOR,6.6,2.8,0,0,6.8,3.9,1.5,0,1.1,2.6,1.7,4.3,7.4,3.8,10,0.2,1.1,0,2,0.9,7.7,6.1,6.1,5,5.6,1.3,2.5,3.1,2.3,4.1,4,74,1
Kazakhstan,KAZ,7.5,5.8,0,0,5,4.3,1.6,0,1.1,2.9,1.3,1.5,0,1,0,0.8,0.9,0,0.9,0.7,0.4,0.7,3.8,6,4.9,1.3,3.7,1.9,2.3,3.7,2,150,3
Kenya,KEN,4.2,5.7,5.6,0,7,4.9,9.3,0,6.5,5.8,4.6,6.7,1.8,4.4,7.7,6.8,3.1,1.5,5.2,4.5,6.4,5.5,3.9,6.4,5.2,5.6,8.1,7.8,7.2,6.3,5.9,22,0
Kiribati,KIR,0.1,0.1,7.3,0,4,2.9,0.1,0,0.1,1.6,5.6,3.2,10,6.1,0,10,3.8,0.3,0.8,5.6,3.3,4.9,x,5.9,5.9,7.2,4.7,6.1,6,6,3.6,92,11
Korea DPR,PRK,0.9,7.7,3.2,6.6,2.9,4.8,3.8,0,2.7,3.8,7.5,x,0,5,0,4.7,2.5,10,9.2,7.8,5,5,x,8.3,8.3,6.6,3.1,0.5,3.4,6.5,5,43,11
Korea Republic of,KOR,0.1,4.7,7.5,8.5,0.3,5.2,3.1,0,2.2,3.9,0.8,0.9,0,0.6,0.5,0.7,0.2,0,1.2,0.5,0.5,0.6,1.5,3.8,2.7,1.4,0.2,1.7,1.1,1.9,1.6,168,4
Kuwait,KWT,5.6,1.2,0,0,3.1,2.3,0.3,0,0.2,1.3,2.3,4.5,0,2.3,1.1,0.3,0.7,0,1,0.5,0.8,1.6,x,5.8,5.8,1.3,1.7,1.8,1.6,4,2,150,5
Kyrgyzstan,KGZ,9.7,5.6,0,0,6.7,5.8,3.7,0,2.6,4.4,2.5,2.9,3.3,2.8,0.8,1,1.1,0.2,2.3,1.2,1,1.9,3.7,7,5.4,2.7,3.6,4,3.4,4.5,3.4,100,2
Lao PDR,LAO,3.7,9.2,0,3.3,2.5,4.7,1.7,0,1.2,3.1,4.4,4.7,1.8,3.8,0,1.5,5.4,0.4,5.7,3.6,2,2.9,6.1,6.5,6.3,5.5,5.7,6.9,6,6.2,3.8,86,0
Latvia,LVA,0.1,6.7,0,0,2,2.2,0.1,0,0.1,1.2,1.8,2.6,0,1.6,1.2,1.1,0.4,0,1.6,0.8,1,1.3,x,3.6,3.6,1.4,0.8,2.5,1.6,2.7,1.6,168,5
Lebanon,LBN,6.5,1.1,6,0,2.6,3.7,7.4,7,7,5.6,2.9,5.1,5.8,4.2,10,0.2,0.6,4.2,1.7,1.8,7.9,6.4,4.7,6.7,5.7,2.3,0.8,3.5,2.2,4.2,5.3,33,6
