COUNTRY,ISO3,Earthquake,Flood,Tsunami,Tropical Cyclone,Drought,Epidemic,Natural,Projected Conflict Risk,Current Highly Violent Conflict Intensity,Human,HAZARD & EXPOSURE,Development & Deprivation,Inequality,Aid Dependency,Socio-Economic Vulnerability,Uprooted people,Health Conditions,Children U5,Recent Shocks,Food Security,Other Vulnerable Groups,Vulnerable Groups,VULNERABILITY,DRR,Governance,Institutional,Communication,Physical infrastructure,Access to health care,Infrastructure,LACK OF COPING CAPACITY,INFORM RISK,RISK CLASS,Rank,Lack of Reliability (*),Number of Missing Indicators,% of Missing Indicators,Countries in HVC,Recentness data (average years)
Afghanistan,AFG,9.7,7.2,0,0,7.9,6.9,6.5,10,10,10,8.8,8.5,8.7,4.8,7.6,9.6,2.1,5.2,10,7.8,7.4,8.7,8.2,6.3,8.1,7.2,6.3,7.3,7.6,7.1,7.2,8,Very High,5,#VALUE!,6,12%,YES,#VALUE!
Albania,ALB,9.3,4.7,7.8,0,6.8,4.9,6.4,0.1,0,0.1,3.9,2.4,2.1,1.8,2.2,0.9,0.2,1.1,0.2,1.8,0.8,0.9,1.6,x,5.6,5.6,2,1.7,3.7,2.5,4.2,3,Low,119,#VALUE!,8,16%,,#VALUE!
Algeria,DZA,8.8,5.2,4.6,0,4.1,3.4,5,7.6,0,5.3,5.2,2.9,3.3,0.2,2.3,5.4,0.4,1.3,0.4,0.3,0.6,3.4,2.9,3.5,6.4,5,3.6,4.1,3.8,3.8,4.4,4,Medium,82,#VALUE!,3,6%,,#VALUE!
Angola,AGO,0.1,5.1,0,0,4.2,6.7,3.2,6.7,0,4.7,4,8,4.4,0.1,5.1,5.1,5,5.2,1.2,6.3,4.7,4.9,5,5.3,7.6,6.5,7,8,8.1,7.7,7.1,5.2,High,39,#VALUE!,1,2%,,#VALUE!
Antigua and Barbuda,ATG,5.2,0.1,0,8.4,0,3.5,3.7,0,0,0,2,2.4,x,1.8,2.2,0,0,0.6,0.4,5.8,2.1,1.1,1.7,5.4,5,5.2,1,0.7,4.3,2,3.8,2.3,Low,142,#VALUE!,20,39%,,#VALUE!
Argentina,ARG,6.7,6.5,0,0,3.3,4,3.9,2.2,0,1.5,2.8,1.5,4.4,0,1.9,2.8,0.3,0.8,0.1,1.1,0.6,1.8,1.9,3.8,5.4,4.6,1.6,3,2.1,2.2,3.5,2.7,Low,128,#VALUE!,7,14%,,#VALUE!
Armenia,ARM,8.2,4.3,0,0,4.6,5.2,4.4,4.4,0,3.1,3.8,1.6,2.9,2.5,2.2,4.6,0.3,0.8,0.5,2,0.9,3,2.6,7.5,5.9,6.7,2,1.2,2.7,2,4.8,3.6,Medium,99,#VALUE!,3,6%,,#VALUE!
Australia,AUS,0.2,5.3,7.2,4.8,6.8,2.2,4.9,0.1,0,0.1,2.8,0,2.1,0,0.5,5.8,0.1,0.2,0.1,1.2,0.4,3.6,2.2,2.4,2.1,2.3,1.9,3,0.5,1.8,2.1,2.3,Low,142,#VALUE!,9,18%,,#VALUE!
Austria,AUT,4.2,5.5,0,0,0.5,1.7,2.3,0,0,0,1.2,0,1.2,0.1,0.3,7,0.1,0.3,0,0.2,0.2,4.4,2.6,2,2.3,2.2,1,0,0.5,0.5,1.4,1.6,Very Low,169,#VALUE!,12,24%,,#VALUE!
Azerbaijan,AZE,8.8,4.9,0,0,5.3,5.6,4.9,7.2,0,5,5,2.9,2.3,0.5,2.2,8.1,0.8,1.5,0,1.3,0.9,5.6,4.1,x,6.4,6.4,1.8,3.1,2.1,2.3,4.7,4.6,Medium,61,#VALUE!,6,12%,,#VALUE!
Bahamas,BHS,0.1,0.1,0,8.8,2.6,3.7,3.5,0,0,0,1.9,1.9,4.5,0,2.1,0.9,1.6,0.6,0,4.6,1.9,1.4,1.8,x,3.7,3.7,2.6,2,3.3,2.6,3.2,2.2,Low,146,#VALUE!,16,31%,,#VALUE!
Bahrain,BHR,0.1,0.1,0,0,0,4.1,0.9,0.3,0,0.2,0.6,1.1,3,0,1.3,1.1,0.1,0.6,0,1.7,0.6,0.9,1.1,3.8,5.5,4.7,0.8,0,3,1.3,3.2,1.3,Very Low,180,#VALUE!,15,29%,,#VALUE!
Bangladesh,BGD,9.2,10,8.2,6.9,5,7.6,8.2,9.8,0,6.9,7.6,7.3,4.6,1.2,5.1,7.7,2,4.9,4.8,4.3,4.1,6.2,5.7,3,7,5,5.1,4.9,5.2,5.1,5.1,6,High,22,#VALUE!,3,6%,,#VALUE!
Barbados,BRB,5.6,0.1,5.7,4.6,0.5,4.4,3.8,0,0,0,2.1,2.2,3.8,0.5,2.2,0,1.1,0.9,0,2,1,0.5,1.4,2.8,3.3,3.1,2.1,0.2,3,1.8,2.5,1.9,Very Low,156,#VALUE!,13,25%,,#VALUE!
Belarus,BLR,0.1,6.2,0,0,3.1,2.4,2.3,2.7,0,1.9,2.1,1.8,0.9,0.3,1.2,1.8,0.6,0.3,0.4,1.2,0.6,1.2,1.2,2.8,5.7,4.3,1.8,0.3,1.6,1.2,2.9,1.9,Very Low,156,#VALUE!,10,20%,,#VALUE!
Belgium,BEL,3.4,4,0,0,0.5,1.3,1.7,3.4,0,2.4,2.1,0,0.7,0.4,0.3,5.4,0.1,0.3,0,0.2,0.2,3.2,1.9,x,2.6,2.6,2.1,0,0.7,0.9,1.8,1.9,Very Low,156,#VALUE!,13,25%,,#VALUE!
Belize,BLZ,2.4,8.4,5.3,7.2,1,4.6,5.4,0.2,0,0.1,3.2,4.2,5.1,1.2,3.7,3.6,1.3,1.3,0,2.4,1.3,2.5,3.1,x,6.3,6.3,4.1,3,4.4,3.8,5.2,3.7,Medium,96,#VALUE!,9,18%,,#VALUE!
Benin,BEN,0.1,5.1,0,0,0.5,7.3,2.8,2.9,0,2,2.4,8.7,7,2.3,6.7,2.5,4.5,5.8,0,2.4,3.5,3,5.1,5.5,6.2,5.9,7.5,8.3,6.9,7.6,6.8,4.4,Medium,70,#VALUE!,1,2%,,#VALUE!
Bhutan,BTN,7.4,5.1,0,0,0,5.1,3.6,0.1,0,0.1,2,6.9,4.7,2,5.1,0,1.5,2.6,0,4.3,2.2,1.2,3.4,4.5,3.6,4.1,4.5,4.6,5,4.7,4.4,3.1,Low,112,#VALUE!,9,18%,,#VALUE!
Bolivia,BOL,7.7,5.5,0,0,4.1,4.7,4.2,5.9,0,4.1,4.2,6,5.4,1.3,4.7,0.9,1.1,1.8,3.1,5,2.9,2,3.5,5.6,6.5,6.1,3.3,5,4.9,4.4,5.3,4.3,Medium,71,#VALUE!,6,12%,,#VALUE!
Bosnia and Herzegovina,BIH,6.3,7.1,3.1,0,3.4,2,4.1,2.3,0,1.6,2.9,2.8,2.1,2.5,2.6,7.1,0.3,0.4,0,1.4,0.5,4.6,3.7,x,6.1,6.1,2.5,1.3,3.8,2.5,4.5,3.6,Medium,99,#VALUE!,9,18%,,#VALUE!
Botswana,BWA,0.1,4.8,0,0,6.5,3.8,3,1.7,0,1.2,2.1,3.7,6.5,0.6,3.6,2.2,4.2,2.7,0.1,7,3.9,3.1,3.4,5.6,4,4.8,3.8,4.6,4.9,4.4,4.6,3.2,Low,110,#VALUE!,3,6%,,#VALUE!
Brazil,BRA,1,8.1,0,0,4.5,5.7,4,9.2,7,7,5.7,3.3,6.3,0.1,3.3,5.2,0.7,0.8,0,1.3,0.7,3.3,3.3,4.3,6.1,5.2,2.5,3.6,3.5,3.2,4.3,4.3,Medium,71,#VALUE!,5,10%,YES,#VALUE!
Brunei Darussalam,BRN,0.1,1.4,5,1.9,2,4.3,2.6,0,0,0,1.4,0.9,3.1,0,1.2,0,0.4,1.5,0,1.9,1,0.5,0.9,6,3.2,4.6,1.4,2.5,2.5,2.1,3.5,1.6,Very Low,169,#VALUE!,14,27%,,#VALUE!
Bulgaria,BGR,6.6,4.9,0,0,2.8,4.6,3.5,0.4,0,0.3,2,1.7,3,0.6,1.8,4.3,0.2,0.6,0,2.4,0.8,2.7,2.3,3.2,5.2,4.2,2.1,1.4,1.5,1.7,3,2.4,Low,139,#VALUE!,9,18%,,#VALUE!
Burkina Faso,BFA,0.1,4.6,0,0,5.8,7.2,3.6,5.5,0,3.9,3.8,9.8,5.4,2.3,6.8,5.3,4,5.3,0,4.3,3.6,4.5,5.8,3.2,6.1,4.7,7.8,9.2,6.9,8,6.6,5.3,High,35,#VALUE!,0,0%,,#VALUE!
Burundi,BDI,4.9,3.7,0,0,4.9,6.7,3.8,9,0,6.3,5.2,9.7,4.9,3.7,7,6.9,3.5,5.6,0.1,8.8,5.4,6.2,6.6,4.6,8,6.3,7.3,7.2,7.5,7.3,6.8,6.2,High,19,#VALUE!,2,4%,,#VALUE!
Cabo Verde,CPV,0.1,0.1,0,0,6.6,4.7,2.4,0,0,0,1.3,4.9,5.6,5.1,5.1,0,1.7,1.3,0,3.7,1.8,0.9,3.3,3.4,4.5,4,3.2,3.2,4.8,3.7,3.9,2.6,Low,131,#VALUE!,11,22%,,#VALUE!
Cambodia,KHM,0.1,9.5,5.2,4,4.6,6.4,5.8,4.6,0,3.2,4.6,7.3,6.3,2,5.7,0,2.7,3.8,0,4.7,3,1.6,3.9,6.8,7.2,7,4.1,5.7,6.1,5.3,6.2,4.8,Medium,55,#VALUE!,4,8%,,#VALUE!
Cameroon,CMR,0.1,6,0,0,3.1,7.8,3.6,9.7,0,6.8,5.4,8.1,6.5,1.3,6,9,6.3,5,0,2.6,3.8,7.2,6.6,2.6,7.1,4.9,5.6,8,7.1,6.9,6,6,High,22,#VALUE!,1,2%,,#VALUE!
Canada,CAN,5.5,5.2,6.9,2.6,4.7,1.2,4.6,0.1,0,0.1,2.6,0,1.8,0,0.5,6.2,0.1,0.4,0.1,0.6,0.3,3.8,2.3,2.8,1.6,2.2,2.3,3,1.5,2.3,2.3,2.4,Low,139,#VALUE!,12,24%,,#VALUE!
Central African Republic,CAF,0.1,5.7,0,0,0.5,7.6,3.1,9.2,10,10,8.1,9.9,8.4,7.7,9,9.8,8.8,7.3,0,9.6,7.6,9,9,x,8,8,8.8,9.3,9.6,9.2,8.7,8.6,Very High,2,#VALUE!,4,8%,YES,#VALUE!
Chad,TCD,0.1,7.5,0,0,5.6,7,4.2,10,0,7,5.8,10,7,3,7.5,8.5,3.6,8,3,8.5,6.4,7.6,7.6,x,8,8,9.1,10,9.8,9.6,8.9,7.3,Very High,6,#VALUE!,4,8%,,#VALUE!
Chile,CHL,9.8,5.6,9.1,0,0.3,2.8,6.2,3.8,0,2.7,4.7,1.1,4.9,0.1,1.8,3.4,0.6,0.4,0,1.6,0.7,2.2,2,3.2,3.3,3.3,2,2.7,3,2.6,3,3,Low,119,#VALUE!,8,16%,,#VALUE!
China,CHN,7.2,8.4,9.2,8.1,4.6,5.8,7.5,9,0,6.3,6.9,4.1,2.7,0,2.7,5.3,0.4,0.8,1,1.8,1,3.4,3.1,2.5,5.2,3.9,2.6,4,3.4,3.3,3.6,4.3,Medium,71,#VALUE!,8,16%,,#VALUE!
Colombia,COL,9.6,6.8,7.9,4.1,1.9,5.4,6.7,8.1,7,7,6.9,4.1,5.7,0.5,3.6,10,0.6,1,0.1,1.2,0.7,7.7,6,3,5.8,4.4,2.3,3.6,3.6,3.2,3.8,5.4,High,31,#VALUE!,5,10%,YES,#VALUE!
Comoros,COM,0.1,0.1,5.5,2.9,1,5.7,2.9,0.4,0,0.3,1.7,8.1,5.1,3.1,6.1,0,2.7,4.6,10,7.3,7.2,4.5,5.4,7.8,7.7,7.8,5.7,5.8,6.1,5.9,7,4,Medium,82,#VALUE!,5,10%,,#VALUE!
Congo,COG,0.1,8.6,0,0,0.5,7,3.8,5,0,3.5,3.7,7.4,6.9,0.4,5.5,7.4,5.7,3.2,0.3,9,5.5,6.5,6,x,7.8,7.8,5.5,8.1,7.3,7,7.4,5.5,High,30,#VALUE!,2,4%,,#VALUE!
Congo DR,COD,4.5,7.5,0,0,1.9,8.3,4.6,9.9,7,7,5.9,9.2,6.5,2,6.7,9,5.5,6.1,0,9.2,6.2,7.9,7.3,7.5,8.2,7.9,7.6,9.4,7.7,8.2,8.1,7,Very High,8,#VALUE!,2,4%,YES,#VALUE!
Costa Rica,CRI,9.6,3.3,8.7,1.9,1,4.7,6,0.1,0,0.1,3.6,2.1,4.9,0.3,2.4,5.2,0.3,0.5,1.3,2.1,1.1,3.4,2.9,1.5,4.5,3,1.2,2,3.5,2.2,2.6,3,Low,119,#VALUE!,5,10%,,#VALUE!
Côte d'Ivoire,CIV,0.1,5.6,4.6,0,1,7.7,3.8,9.1,0,6.4,5.2,8.5,6.5,0.7,6.1,7.1,5.2,4.8,0,4.2,3.8,5.7,5.9,7.8,6.5,7.2,5.8,7.3,6.9,6.7,7,6,High,22,#VALUE!,1,2%,,#VALUE!
Croatia,HRV,5.9,6.5,7.7,0,3.3,2,4.8,0.1,0,0.1,2.8,1.4,1.6,0.8,1.3,1.2,0.1,0.4,0,1.7,0.6,0.9,1.1,4.4,4.5,4.5,2,0.2,2,1.4,3.1,2.1,Low,150,#VALUE!,11,22%,,#VALUE!
Cuba,CUB,5.8,3.6,5.7,8,4.9,5.1,5.7,3.3,0,2.3,4.2,2.5,4,4.6,3.4,0,0.4,0.4,10,0.8,5.1,2.9,3.2,2.5,5.4,4,3.6,1.8,0.6,2,3.1,3.5,Medium,102,#VALUE!,12,24%,,#VALUE!
Cyprus,CYP,8.7,0,6.4,0,3.1,2.4,4.3,0.1,0,0.1,2.5,0.6,1.7,0.3,0.8,9,0.1,0.2,0,3.1,0.9,6.5,4.2,x,3.7,3.7,1.5,0.1,2.4,1.3,2.6,3,Low,119,#VALUE!,10,20%,,#VALUE!
Czech Republic,CZE,0.9,5.3,0,0,1.5,1.2,1.7,0.1,0,0.1,0.9,0.2,1,0.3,0.4,2.3,0.1,0.3,0,1.6,0.5,1.4,0.9,2.5,3.6,3.1,2.2,0,0.7,1,2.1,1.2,Very Low,182,#VALUE!,11,22%,,#VALUE!
Denmark,DNK,0.1,2.3,0,0,2.3,1.7,1.1,0,0,0,0.6,0,0.7,0.1,0.2,5.2,0.1,0.3,0,1.4,0.5,3.2,1.8,2.7,1.3,2,1.4,0,0.2,0.5,1.3,1.1,Very Low,185,#VALUE!,10,20%,,#VALUE!
Djibouti,DJI,5.3,0.4,8.5,0,9.1,4.6,5.8,2.2,0,1.5,4,8.5,4.2,3.3,6.1,6.1,2.4,5.7,1.3,5.1,3.8,5.1,5.6,5.5,7,6.3,7,6,6.6,6.5,6.4,5.2,High,39,#VALUE!,5,10%,,#VALUE!
Dominica,DMA,4,0.1,8.5,7.6,0,3.8,4.9,0,0,0,2.8,3.7,x,4.7,4,0,0.6,2.6,10,2.3,5.7,3.4,3.7,x,4.9,4.9,2.8,1.1,5.9,3.3,4.1,3.5,Medium,102,#VALUE!,21,41%,,#VALUE!
Dominican Republic,DOM,9.7,4.6,6.4,7.9,1,6,6.7,5.2,0,3.6,5.4,4.3,5.6,1.1,3.8,0,1.3,1.6,0.2,3.1,1.6,0.8,2.4,4.6,6.4,5.5,2.9,2.2,4.6,3.2,4.4,3.8,Medium,92,#VALUE!,5,10%,,#VALUE!
Ecuador,ECU,9.8,6.7,9.2,0,2.8,5,6.8,0.7,0,0.5,4.3,3.7,5,0.5,3.2,6,0.7,1.3,0,2.9,1.3,4,3.6,3,6.1,4.6,2.9,3.4,3.9,3.4,4,4,Medium,82,#VALUE!,4,8%,,#VALUE!
Egypt,EGY,4.9,8.1,7.2,0,3.1,3.2,5,9.4,9,9,7.5,4.3,3.9,1.3,3.5,6.6,0.2,1.7,0,0,0.5,4.2,3.9,4.2,6.4,5.3,3.6,3.4,4.4,3.8,4.6,5.1,High,47,#VALUE!,1,2%,YES,#VALUE!
El Salvador,SLV,9.7,3,8.2,3.7,3.7,5.9,6.5,5.5,0,3.9,5.3,4.5,4.3,2.7,4,0,1.2,1.3,3.1,2.8,2.1,1.1,2.7,5.2,6.1,5.7,3,2.2,4.3,3.2,4.6,4,Medium,82,#VALUE!,5,10%,,#VALUE!
Equatorial Guinea,GNQ,0.1,4.4,0,0,3.6,6.9,3,4.2,0,2.9,3,6.2,x,0.1,4.2,0,6.4,4.1,0,2.8,3.7,2,3.2,x,8.2,8.2,5,6.6,7.5,6.4,7.4,4.1,Medium,78,#VALUE!,11,22%,,#VALUE!
Eritrea,ERI,3.4,3.1,0,0,8.3,5.9,4.2,4.6,0,3.2,3.7,9.2,x,0.3,6.2,2.2,1.6,6,0,5.6,3.7,3,4.8,x,8.1,8.1,7.4,9.7,5.6,7.6,7.9,5.2,High,39,#VALUE!,14,27%,,#VALUE!
Estonia,EST,0.1,3.6,0,0,0,1,0.9,0,0,0,0.5,0.6,1.8,0.3,0.8,1.2,0.8,0.2,0,1.6,0.7,1,0.9,x,2.8,2.8,1,0.1,1.5,0.9,1.9,0.9,Very Low,186,#VALUE!,11,22%,,#VALUE!
Eswatini,SWZ,0.1,4.2,0,0.2,5.2,3.8,2.5,3.3,0,2.3,2.4,7,7.1,1.8,5.7,2.1,4.9,3.4,0,5.8,3.8,3,4.5,4.4,6.2,5.3,4.7,5.6,5.9,5.4,5.4,3.9,Medium,87,#VALUE!,1,2%,,#VALUE!
Ethiopia,ETH,4.8,5.7,0,0,5.7,7.4,4.5,9.9,9,9,7.4,9.5,5.1,1.6,6.4,8.6,3.1,4.9,0,5.6,3.7,6.8,6.6,2.9,6.5,4.7,7.7,9.8,7.1,8.2,6.8,6.9,Very High,10,#VALUE!,1,2%,YES,#VALUE!
Fiji,FJI,3.5,0.1,8,3.1,2.5,3.5,3.9,0.1,0,0.1,2.2,3.2,3.8,2.6,3.2,0,3.7,1.9,10,1.6,5.9,3.5,3.4,0.1,4.8,2.5,3.4,3.3,4.4,3.7,3.1,2.9,Low,124,#VALUE!,11,22%,,#VALUE!
Finland,FIN,0.1,0.1,0,0,0,1.1,0.2,0,0,0,0.1,0,0.7,0.1,0.2,4.7,0.1,0.2,0,1.2,0.4,2.8,1.6,2.2,1.3,1.8,1.6,0.5,0.6,0.9,1.4,0.6,Very Low,190,#VALUE!,13,25%,,#VALUE!
France,FRA,3.3,6.4,5.7,0,2.3,1.3,3.5,0.9,0,0.6,2.2,0,1.5,0.2,0.4,7.1,0.3,0.3,0,0.8,0.4,4.6,2.8,2.9,2.6,2.8,2.1,0,0.9,1,1.9,2.3,Low,142,#VALUE!,10,20%,,#VALUE!
Gabon,GAB,0.1,4.8,0,0,1.5,6.5,2.6,6.1,0,4.3,3.5,5.6,5.2,0.5,4.2,1.3,6.3,2.6,0,2.8,3.3,2.4,3.4,6.7,6.9,6.8,3.2,6.2,6.2,5.2,6.1,4.2,Medium,75,#VALUE!,4,8%,,#VALUE!
